city,country,year,week,lat,lon,avg_temp_week,max_temp_week,min_temp_weekday,date,alpha-3,region
Florianopolis,Brazil,2022,44,-27.58,-48.57,18.45714285714286,30.8,12.6,44-2022,BRA,Americas
Barcelona,Spain,2023,19,41.38,2.18,17.357142857142858,23.4,11.8,19-2023,ESP,Europe
Florianopolis,Brazil,2022,47,-27.58,-48.57,21.514285714285712,27.6,17.6,47-2022,BRA,Americas
Lisbon,Portugal,2023,42,38.72,-9.13,19.9,22.2,17.8,42-2023,PRT,Europe
Medellin,Colombia,2023,05,6.29,-75.54,16.985714285714284,27.3,12.4,05-2023,COL,Americas
Florianopolis,Brazil,2023,42,-27.58,-48.57,17.7,18.8,16.1,42-2023,BRA,Americas
Rome,Italy,2023,05,41.9,12.48,7.642857142857143,15.4,0.9,05-2023,ITA,Europe
Lima,Peru,2023,34,-12.05,-77.05,18.74285714285714,23.3,15.5,34-2023,PER,Americas
Tallinn,Estonia,2023,12,59.43,24.73,3.5571428571428565,8.2,-0.3,12-2023,EST,Europe
Florianopolis,Brazil,2023,33,-27.58,-48.57,17.528571428571432,27.3,10.9,33-2023,BRA,Americas
Florianopolis,Brazil,2022,01,-27.58,-48.57,24.8,29.7,20.9,01-2022,BRA,Americas
Buenos Aires,Argentina,2023,41,-34.59,-58.67,17.442857142857143,30.2,5.7,41-2023,ARG,Americas
Lisbon,Portugal,2022,51,38.72,-9.13,15.385714285714286,18.9,11.7,51-2022,PRT,Europe
Berlin,Germany,2023,36,52.52,13.4,22.185714285714287,31.4,14.0,36-2023,DEU,Europe
Buenos Aires,Argentina,2023,07,-34.59,-58.67,24.157142857142855,39.0,9.7,07-2023,ARG,Americas
Barcelona,Spain,2022,43,41.38,2.18,21.585714285714282,26.4,18.1,43-2022,ESP,Europe
Medellin,Colombia,2023,29,6.29,-75.54,20.714285714285715,29.9,15.8,29-2023,COL,Americas
Tallinn,Estonia,2023,13,59.43,24.73,-0.6428571428571429,3.8,-4.3,13-2023,EST,Europe
Buenos Aires,Argentina,2023,22,-34.59,-58.67,13.885714285714284,22.3,6.0,22-2023,ARG,Americas
Medellin,Colombia,2023,03,6.29,-75.54,17.214285714285715,25.1,12.3,03-2023,COL,Americas
Barcelona,Spain,2023,30,41.38,2.18,26.157142857142855,32.3,22.1,30-2023,ESP,Europe
Medellin,Colombia,2022,47,6.29,-75.54,17.385714285714283,24.1,13.6,47-2022,COL,Americas
Tallinn,Estonia,2023,36,59.43,24.73,15.071428571428571,22.3,9.9,36-2023,EST,Europe
Berlin,Germany,2022,43,52.52,13.4,14.77142857142857,21.6,8.3,43-2022,DEU,Europe
Florianopolis,Brazil,2022,46,-27.58,-48.57,21.942857142857143,29.8,14.4,46-2022,BRA,Americas
Buenos Aires,Argentina,2022,53,-34.59,-58.67,26.8,32.2,22.2,53-2022,ARG,Americas
Rome,Italy,2023,23,41.9,12.48,21.25714285714286,27.5,15.5,23-2023,ITA,Europe
Medellin,Colombia,2022,53,6.29,-75.54,16.6,20.3,13.7,53-2022,COL,Americas
Medellin,Colombia,2022,45,6.29,-75.54,16.685714285714287,22.1,13.1,45-2022,COL,Americas
Barcelona,Spain,2023,21,41.38,2.18,18.214285714285715,24.3,14.4,21-2023,ESP,Europe
Lisbon,Portugal,2023,06,38.72,-9.13,10.842857142857143,18.0,5.7,06-2023,PRT,Europe
Lisbon,Portugal,2023,01,38.72,-9.13,12.0,16.6,7.5,01-2023,PRT,Europe
Florianopolis,Brazil,2023,25,-27.58,-48.57,16.357142857142858,26.3,9.2,25-2023,BRA,Americas
Lisbon,Portugal,2023,08,38.72,-9.13,12.485714285714284,20.3,7.3,08-2023,PRT,Europe
Buenos Aires,Argentina,2022,44,-34.59,-58.67,17.685714285714287,30.0,7.1,44-2022,ARG,Americas
Barcelona,Spain,2022,48,41.38,2.18,11.785714285714286,16.9,8.3,48-2022,ESP,Europe
Buenos Aires,Argentina,2023,32,-34.59,-58.67,12.385714285714286,22.5,5.4,32-2023,ARG,Americas
Tallinn,Estonia,2023,21,59.43,24.73,13.314285714285713,20.4,6.5,21-2023,EST,Europe
Barcelona,Spain,2023,08,41.38,2.18,11.971428571428572,18.1,8.1,08-2023,ESP,Europe
Berlin,Germany,2023,30,52.52,13.4,18.914285714285715,28.3,12.0,30-2023,DEU,Europe
Buenos Aires,Argentina,2023,11,-34.59,-58.67,30.142857142857142,43.9,23.6,11-2023,ARG,Americas
Barcelona,Spain,2023,41,41.38,2.18,22.942857142857143,25.6,20.4,41-2023,ESP,Europe
Lisbon,Portugal,2023,27,38.72,-9.13,21.771428571428572,31.7,16.8,27-2023,PRT,Europe
Lima,Peru,2023,26,-12.05,-77.05,18.67142857142857,24.5,15.9,26-2023,PER,Americas
Lisbon,Portugal,2023,29,38.72,-9.13,21.328571428571426,29.9,16.1,29-2023,PRT,Europe
Lima,Peru,2023,02,-12.05,-77.05,21.357142857142858,25.4,18.5,02-2023,PER,Americas
Barcelona,Spain,2023,34,41.38,2.18,29.0,34.0,25.1,34-2023,ESP,Europe
Rome,Italy,2023,27,41.9,12.48,25.45714285714286,34.4,18.8,27-2023,ITA,Europe
Medellin,Colombia,2023,34,6.29,-75.54,17.357142857142858,25.9,9.2,34-2023,COL,Americas
Medellin,Colombia,2023,02,6.29,-75.54,15.885714285714286,21.0,12.2,02-2023,COL,Americas
Lima,Peru,2023,24,-12.05,-77.05,19.428571428571427,23.0,16.6,24-2023,PER,Americas
Berlin,Germany,2023,14,52.52,13.4,4.1571428571428575,12.5,-2.4,14-2023,DEU,Europe
Rome,Italy,2023,16,41.9,12.48,13.328571428571427,22.4,7.2,16-2023,ITA,Europe
Tallinn,Estonia,2023,26,59.43,24.73,18.485714285714284,24.8,11.2,26-2023,EST,Europe
Medellin,Colombia,2023,40,6.29,-75.54,15.771428571428572,28.8,9.4,40-2023,COL,Americas
Rome,Italy,2023,02,41.9,12.48,10.085714285714285,16.0,3.8,02-2023,ITA,Europe
Berlin,Germany,2023,42,52.52,13.4,8.6,11.4,7.0,42-2023,DEU,Europe
Buenos Aires,Argentina,2022,49,-34.59,-58.67,27.928571428571427,39.4,17.1,49-2022,ARG,Americas
Berlin,Germany,2023,11,52.52,13.4,6.642857142857143,16.6,-0.4,11-2023,DEU,Europe
Tallinn,Estonia,2022,53,59.43,24.73,3.0,4.2,1.8,53-2022,EST,Europe
Medellin,Colombia,2023,10,6.29,-75.54,15.242857142857144,24.5,9.8,10-2023,COL,Americas
Buenos Aires,Argentina,2023,38,-34.59,-58.67,14.585714285714285,21.2,9.0,38-2023,ARG,Americas
Buenos Aires,Argentina,2023,02,-34.59,-58.67,26.842857142857138,36.2,19.0,02-2023,ARG,Americas
Buenos Aires,Argentina,2022,48,-34.59,-58.67,25.514285714285716,36.3,16.3,48-2022,ARG,Americas
Barcelona,Spain,2023,25,41.38,2.18,25.157142857142855,30.4,21.0,25-2023,ESP,Europe
Lima,Peru,2023,18,-12.05,-77.05,22.0,24.7,19.6,18-2023,PER,Americas
Lisbon,Portugal,2023,28,38.72,-9.13,22.228571428571428,31.4,16.5,28-2023,PRT,Europe
Buenos Aires,Argentina,2023,13,-34.59,-58.67,20.099999999999998,33.4,10.2,13-2023,ARG,Americas
Buenos Aires,Argentina,2022,52,-34.59,-58.67,23.914285714285715,38.7,12.3,52-2022,ARG,Americas
Lisbon,Portugal,2023,09,38.72,-9.13,10.442857142857145,15.6,5.7,09-2023,PRT,Europe
Lima,Peru,2022,51,-12.05,-77.05,21.071428571428573,25.3,17.9,51-2022,PER,Americas
Medellin,Colombia,2022,49,6.29,-75.54,16.128571428571426,22.3,11.8,49-2022,COL,Americas
Lima,Peru,2023,29,-12.05,-77.05,18.85714285714286,24.3,15.5,29-2023,PER,Americas
Rome,Italy,2023,26,41.9,12.48,25.25714285714286,32.6,19.9,26-2023,ITA,Europe
Florianopolis,Brazil,2023,09,-27.58,-48.57,23.900000000000002,31.1,18.9,09-2023,BRA,Americas
Tallinn,Estonia,2023,37,59.43,24.73,15.242857142857144,23.6,9.3,37-2023,EST,Europe
Lima,Peru,2023,41,-12.05,-77.05,18.3,21.4,15.3,41-2023,PER,Americas
Berlin,Germany,2023,09,52.52,13.4,2.6714285714285713,11.7,-1.9,09-2023,DEU,Europe
Tallinn,Estonia,2022,52,59.43,24.73,-0.985714285714286,3.8,-6.0,52-2022,EST,Europe
Lisbon,Portugal,2022,44,38.72,-9.13,17.142857142857146,20.5,12.2,44-2022,PRT,Europe
Florianopolis,Brazil,2023,28,-27.58,-48.57,16.785714285714285,21.5,11.0,28-2023,BRA,Americas
Lima,Peru,2022,43,-12.05,-77.05,16.8,22.5,13.6,43-2022,PER,Americas
Tallinn,Estonia,2022,46,59.43,24.73,4.885714285714286,13.7,-1.2,46-2022,EST,Europe
Tallinn,Estonia,2023,19,59.43,24.73,9.700000000000001,18.0,-0.1,19-2023,EST,Europe
Tallinn,Estonia,2023,31,59.43,24.73,17.085714285714282,22.6,12.6,31-2023,EST,Europe
Lima,Peru,2023,22,-12.05,-77.05,20.02857142857143,25.4,16.5,22-2023,PER,Americas
Buenos Aires,Argentina,2023,39,-34.59,-58.67,14.0,22.0,7.1,39-2023,ARG,Americas
Medellin,Colombia,2023,26,6.29,-75.54,19.32857142857143,28.4,13.9,26-2023,COL,Americas
Florianopolis,Brazil,2023,41,-27.58,-48.57,18.414285714285715,23.7,14.3,41-2023,BRA,Americas
Florianopolis,Brazil,2023,02,-27.58,-48.57,24.414285714285715,33.1,19.2,02-2023,BRA,Americas
Buenos Aires,Argentina,2023,31,-34.59,-58.67,15.07142857142857,28.0,7.6,31-2023,ARG,Americas
Medellin,Colombia,2023,11,6.29,-75.54,14.428571428571429,24.4,9.2,11-2023,COL,Americas
Rome,Italy,2022,42,41.9,12.48,19.799999999999997,26.1,15.3,42-2022,ITA,Europe
Medellin,Colombia,2023,31,6.29,-75.54,20.2,29.9,13.7,31-2023,COL,Americas
Berlin,Germany,2023,01,52.52,13.4,7.783333333333332,12.6,2.4,01-2023,DEU,Europe
Barcelona,Spain,2022,50,41.38,2.18,11.171428571428573,14.4,5.6,50-2022,ESP,Europe
Lima,Peru,2023,40,-12.05,-77.05,18.171428571428574,21.4,15.4,40-2023,PER,Americas
Berlin,Germany,2022,53,52.52,13.4,12.2,15.0,7.3,53-2022,DEU,Europe
Lisbon,Portugal,2023,38,38.72,-9.13,19.571428571428566,25.2,15.4,38-2023,PRT,Europe
Buenos Aires,Argentina,2023,36,-34.59,-58.67,11.171428571428573,18.9,5.2,36-2023,ARG,Americas
Medellin,Colombia,2022,52,6.29,-75.54,16.371428571428574,22.5,11.5,52-2022,COL,Americas
Medellin,Colombia,2023,09,6.29,-75.54,16.500000000000004,27.7,10.2,09-2023,COL,Americas
Florianopolis,Brazil,2022,52,-27.58,-48.57,22.87142857142857,28.8,18.0,52-2022,BRA,Americas
Lisbon,Portugal,2022,53,38.72,-9.13,15.5,18.0,13.1,53-2022,PRT,Europe
Barcelona,Spain,2023,22,41.38,2.18,20.314285714285717,24.4,16.6,22-2023,ESP,Europe
Lisbon,Portugal,2022,45,38.72,-9.13,16.785714285714285,22.2,11.5,45-2022,PRT,Europe
Florianopolis,Brazil,2023,10,-27.58,-48.57,24.385714285714283,33.4,20.6,10-2023,BRA,Americas
Lima,Peru,2023,03,-12.05,-77.05,21.61428571428571,25.6,18.8,03-2023,PER,Americas
